备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025000268,中文：人血白蛋白;英文/拉丁文：Human Albumin,国药准字SJ20247007,中文名称：/;英文名称：Baxalta US Inc,"300 Shire Way, Lexington, MA 02421 US",中文名称：/;英文名称：Baxalta US Inc.,"300 Shire Way, Lexington, MA 02421 US",武田（中国）国际贸易有限公司,中国（上海）自由贸易试验区美盛路56号2层220室,"根据《中国药典》三部（2020年版）人血白蛋白“3.3.3.3纯度”，将本品注册标准“纯度”项更新为“按《中国药典》三部（2020年版）通则0541第二法《醋酸纤维素薄膜电泳法》或第三法《琼脂糖凝胶电泳法》进行，白蛋白含量应不低于蛋白质总量的96%”，其它内容不变。涉及规格为：10g/袋(20%, 50ml)、12.5g/袋（25%，50ml)、25g/袋（25%，100ml)。",2025-02-26,国家药品监督管理局药品审评中心,已备案
国备2025000470,中文：人血白蛋白注射液;英文/拉丁文：Human Albumin Injection,国药准字SJ20170041,中文名称：/;英文名称：Biotest Pharma GmbH,"Landsteinerstrasse 5, 63303 Dreieich, Germany",中文名称：/;英文名称：Biotest AG,"Landsteinerstrasse 5, 63303 Dreieich, Germany",正瞻企业管理咨询（上海）有限公司,上海市普陀区真北路3558号2层E2006室 ,按照“国家药监局关于修订人血白蛋白注射剂说明书的公告（2025年第5号）”之要求修订本品说明书【不良反应】项相关内容，并同时增加说明书的修订日期。,2025-03-18,国家药品监督管理局药品审评中心,已备案
国备2025001826,中文：盐酸替那帕诺片;英文/拉丁文：Tenapanor Hydrochloride Tablets,国药准字HJ20250021,"中文名称：Ardelyx, Inc;英文名称：Ardelyx, Inc",400 Fifth Avenue Suite 210，Waltham，MA 02451 United States of America,中文名称：Patheon Pharmaceuticals Inc.;英文名称：Patheon Pharmaceuticals Inc.,"2110 E Galbraith Rd, Cincinnati, OH 45237 United States of America",上海复星医药产业发展有限公司,浦东新区康桥镇康士路25号350室（康桥）,"1. 说明书、包装、标签中的上市许可持有人、生产企业、包装厂地址信息更新为与注册证书载明的信息一致；
2. 说明书新增境内责任人信息。",2025-07-25,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000462,中文：人血白蛋白;英文/拉丁文：Human Albumin,国药准字SJ20160037,中文名称：无;英文名称：Octapharma AB,"Lars Forssells gata 23, 112 75 Stockholm, Sweden",中文名称：无;英文名称：Octapharma AB,"Lars Forssells gata 23, 112 75 Stockholm, Sweden",四川兴科蓉药业有限责任公司,中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号,"1.根据境内责任人兼注册代理机构《营业执照》，规范其注册地址为“中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号”，实际地址无变化。
2.根据国家药监局关于修订人血白蛋白注射剂说明书的公告（2025年第5号），在说明书【不良反应】项下增加公告要求的内容。
3.根据国家药监局关于发布《境外药品上市许可持有人指定境内责任人管理暂行规定》的公告（2024年第137号），在说明书中列出下述信息：
【境内责任人】 
名称：四川兴科蓉药业有限责任公司 
地址：中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号 
电话：028-62912988 
4.根据备案公示（备案号：国备2025000204），将说明书、小盒、标签、中包装标签中上市许可持有人和生产厂的地址由""SE-112 75 Stockholm, Sweden""，规范为""Lars Forssells gata 23, 112 75 Stockholm, Sweden""，仅地址名称调整，无实际地址变化。
5.根据补充申请（通知书编号：2021B01667），将说明书、小盒、标签、中包装标签规格的“10g(20%, 50ml)/瓶”或“10g (20%, 50ml)”规范为“10g/瓶 (20%, 50ml)”。",2025-03-14,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第437号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000472,中文：缬沙坦氨氯地平片(Ⅰ);英文/拉丁文：Valsartan and Amlodipine Tablets(I),国药准字HJ20150310,中文名称：无;英文名称：Novartis Pharma Schweiz AG,"6343 Risch, Switzerland",中文名称：无;英文名称：Novartis Farma S.p.A.,"Via Provinciale Schito 131, 80058 Torre Annunziata, Italy",北京诺华制药有限公司,北京市昌平区永安路31号,本品大包装规格备案已公示（国备2025000378）。据此申请该进口药品在中国国内分包装，即由北京诺华制药有限公司负责进行片剂泡罩眼包装，装说明书、装外盒。,2025-03-18,国家药品监督管理局药品审评中心,已备案
国备2025000376,中文：普瑞巴林胶囊;英文/拉丁文：Pregabalin Capsules,国药准字HJ20150623,中文名称：无;英文名称：Upjohn EESV,"Rivium Westlaan 142, 2909 LD Capelle aan den IJssel, The Netherlands",中文名称：无;英文名称：Pfizer Manufacturing Deutschland GmbH,"Mooswaldallee 1, 79108 Freiburg Im Breisgau, Germany",晖致医药有限公司,上海市静安区新闸路669号10层（实际楼层第9层）1-2单元及5-9单元,"1 将生产厂地址描述从“Betriebsstatte Freiburg, Mooswaldallee 1, D-79090 Freiburg, Germany”修改为“Mooswaldallee 1, 79108 Freiburg Im Breisgau, Germany”。生产厂实体和实际地址不变。
2 说明书增加境内责任人境内联系人信息，两者信息一致。",2025-03-06,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000375,中文：普瑞巴林胶囊;英文/拉丁文：Pregabalin Capsules,国药准字HJ20150620,中文名称：无;英文名称：Upjohn EESV,"Rivium Westlaan 142, 2909 LD Capelle aan den IJssel, The Netherlands",中文名称：无;英文名称：Pfizer Manufacturing Deutschland GmbH,"Mooswaldallee 1, 79108 Freiburg Im Breisgau, Germany",晖致医药有限公司,上海市静安区新闸路669号10层（实际楼层第9层）1-2单元及5-9单元,"1 将生产厂地址描述从“Betriebsstatte Freiburg, Mooswaldallee 1, D-79090 Freiburg, Germany”修改为“Mooswaldallee 1, 79108 Freiburg Im Breisgau, Germany”。生产厂实体和实际地址不变。
2 说明书增加境内责任人境内联系人信息，两者信息一致。",2025-03-06,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000385,中文：瑞舒伐他汀钙片;英文/拉丁文：Rosuvastatin Calcium Tablets,国药准字HJ20160612,中文名称：/;英文名称：AstraZeneca UK Limited,"1 Francis Crick Avenue, Cambridge Biomedical Campus, Cambridge, CB2 0AA, United Kingdom","中文名称：/;英文名称：IPR Pharmaceuticals, INCORPORATED","CARR 188 Lote 17, San Isidro Industrial Park, PO Box 1624, Canovanas, PR00729, Puerto Rico",阿斯利康投资（中国）有限公司,中国（上海）自由贸易试验区亮景路199号,"根据参考国英国最新批准的药品证明文件CPP，申请更新本品上市许可持有人 AstraZeneca UK Limited 地址，由“600 Capability Green, Luton, LU1 3LU, United Kingdom”变更为“1 Francis Crick Avenue, Cambridge Biomedical Campus, Cambridge, CB2 0AA, United Kingdom”。仅上市许可持有人注册地址发生改变，实际持有人未发生变更。",2025-03-06,国家药品监督管理局药品审评中心,已备案
国备2025000510,中文：来特莫韦片;英文/拉丁文：Letermovir Tablets,国药准字HJ20210086,中文名称：----;英文名称：Merck Sharp & Dohme B.V.,"Waarderweg 39, 2031 BN Haarlem, The Netherlands",中文名称：----;英文名称：MSD International GmbH T/A MSD Ireland (Ballydine),"Kilsheelan, Clonmel, Co. Tipperary, Ireland",默沙东研发（中国）有限公司,北京市朝阳区容达路21号楼L2-13层,我司申请删除已批准来特莫韦注射液药品注册标准（标准号：JX20210108）附件中杂质喹唑啉哌嗪（RRT 1.16）的相关信息，包括杂质名称、结构式、分子式、分子量和化学名称，该更新属于信息更正，不涉及药品注册标准的实质性变更，对注册标准和产品质量控制无影响。且本次申请不涉及其他变更。,2025-03-20,国家药品监督管理局药品审评中心,经审查，此次备案为对药品注册证书及其附件中的错误进行更正，不属于上市后备案类变更的范畴，请按照勘误流程办理。
国备2025000384,中文：瑞舒伐他汀钙片;英文/拉丁文：Rosuvastatin Calcium Tablets,国药准字HJ20160547,中文名称：/;英文名称：AstraZeneca UK Limited,"1 Francis Crick Avenue, Cambridge Biomedical Campus, Cambridge, CB2 0AA, United Kingdom","中文名称：/;英文名称：IPR Pharmaceuticals, INCORPORATED","CARR 188 Lote 17, San Isidro Industrial Park, PO Box 1624, Canovanas, PR00729, Puerto Rico",阿斯利康投资（中国）有限公司,中国（上海）自由贸易试验区亮景路199号,"根据参考国英国最新批准的药品证明文件CPP，申请更新本品上市许可持有人 AstraZeneca UK Limited 地址，由“600 Capability Green, Luton, LU1 3LU, United Kingdom”变更为“1 Francis Crick Avenue, Cambridge Biomedical Campus, Cambridge, CB2 0AA, United Kingdom”。仅上市许可持有人注册地址发生改变，实际持有人未发生变更。",2025-03-06,国家药品监督管理局药品审评中心,已备案
国备2025000383,中文：瑞舒伐他汀钙片;英文/拉丁文：Rosuvastatin Calcium Tablets,国药准字HJ20160548,中文名称：/;英文名称：AstraZeneca UK Limited,"1 Francis Crick Avenue, Cambridge Biomedical Campus, Cambridge, CB2 0AA, United Kingdom","中文名称：/;英文名称：IPR Pharmaceuticals, INCORPORATED","CARR 188 Lote 17, San Isidro Industrial Park, PO Box 1624, Canovanas, PR00729, Puerto Rico",阿斯利康投资（中国）有限公司,中国（上海）自由贸易试验区亮景路199号,"根据参考国英国最新批准的药品证明文件CPP，申请更新本品上市许可持有人 AstraZeneca UK Limited 地址，由“600 Capability Green, Luton, LU1 3LU, United Kingdom”变更为“1 Francis Crick Avenue, Cambridge Biomedical Campus, Cambridge, CB2 0AA, United Kingdom”。仅上市许可持有人注册地址发生改变，实际持有人未发生变更。",2025-03-06,国家药品监督管理局药品审评中心,已备案
国备2025000512,中文：来特莫韦注射液;英文/拉丁文：Letermovir Injection,国药准字HJ20220048,中文名称：------;英文名称：Merck Sharp & Dohme B.V.,"Waarderweg 39, 2031 BN Haarlem, The Netherlands",中文名称：------;英文名称：MSD International GmbH T/A MSD Ireland (Carlow),"Dublin Road, Carlow, Co. Carlow, Ireland",默沙东研发（中国）有限公司,北京市朝阳区容达路21号楼L2-13层,我司申请删除已批准来特莫韦注射液药品注册标准（标准号：JX20220051）附件中杂质喹唑啉哌嗪（RRT 1.16）的相关信息，包括杂质名称、结构式、分子式、分子量和化学名称，该更新属于信息更正，不涉及药品注册标准的实质性变更，对注册标准和产品质量控制无影响。且本次申请不涉及其他变更。,2025-03-20,国家药品监督管理局药品审评中心,经审查，此次备案为对药品注册证书及其附件中的错误进行更正，不属于上市后备案类变更的范畴，请按照勘误流程办理。
