备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025001961,中文：活络油 ;英文/拉丁文：/,国药准字ZC20160010,中文名称：英吉利制药厂有限公司;英文名称：YING KUT LEE MEDICINE FTY. LTD.,香港九龙大角咀埃华街28号永利工业大厦13字楼A座,中文名称：英吉利制药厂有限公司;英文名称：YING KUT LEE MEDICINE FTY. LTD.,九龙油塘高辉道17号油塘工业城B2座11字楼8，9，12室,北京佳禾乐康科技有限公司,北京市丰台区航丰路8号院2号楼-1层21号,将每瓶装60ml规格的有效期由“24个月”变更为“36个月”，同时对药品说明书及包装标签中【有效期】项做相应修订。,2025-08-12,国家药品监督管理局药品审评中心,已备案
国备2025001825,中文：盐酸丙卡巴肼胶囊;英文/拉丁文：Procarbazine hydrochloride Capsules,国药准字HJ20220039,中文名称：Leadiant GmbH;英文名称：Leadiant GmbH,"Liebherrstr. 22,80538 Munich, Germany",中文名称：Haupt Pharma Amareg GmbH;英文名称：Haupt Pharma Amareg GmbH,"Donaustaufer Straße 378,93055 Regensburg, Germany",广州兆科联发医药有限公司,广州市南沙区珠江工业园美德三路1号自编A栋四层,根据广州兆科联发医药有限公司的最新营业执照，修订本品现行药品说明书中【境内责任人】的地址，由广州市南沙区珠江工业园美德三路1号自编A区4层修订为广州市南沙区珠江工业园美德三路1号自编A栋四层。,2025-07-25,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025001861,中文：酒石酸溴莫尼定滴眼液;英文/拉丁文：Brimonidine Tartrate Eye Drops,国药准字HJ20160425,中文名称：不适用;英文名称：AbbVie Inc.,"1 N Waukegan Rd, North Chicago, IL 60064 United States of America","中文名称：不适用;英文名称：Allergan Sales, LLC","8301 Mars Drive, Waco, TX 76712 United States of America",艾伯维医药贸易（上海）有限公司,中国（上海）自由贸易试验区富特北路458号4层418部位,变更本品注册代理机构，由艾尔建信息咨询（上海）有限公司变成艾伯维医药贸易（上海）有限公司。,2025-07-30,国家药品监督管理局药品审评中心,已备案
国备2025001860,中文：酒石酸溴莫尼定滴眼液;英文/拉丁文：Brimonidine Tartrate Eye Drops,国药准字HJ20160426,中文名称：不适用;英文名称：AbbVie Inc.,"1 N Waukegan Rd, North Chicago, IL 60064 United States of America","中文名称：不适用;英文名称：Allergan Sales, LLC","8301 Mars Drive, Waco, TX 76712 United States of America",艾伯维医药贸易（上海）有限公司,中国（上海）自由贸易试验区富特北路458号4层418部位,变更本品注册代理机构，由艾尔建信息咨询（上海）有限公司变成艾伯维医药贸易（上海）有限公司。,2025-07-30,国家药品监督管理局药品审评中心,已备案
国备2025001821,中文： 玛巴洛沙韦干混悬剂;英文/拉丁文： Baloxavir Marboxil for Suspension,国药准字HJ20230153,中文名称：N/A;英文名称：Roche Pharma (Schweiz) AG,"Grenzacherstrasse 124, 4058 Basel, Switzerland","中文名称：N/A;英文名称：1）Shionogi Pharma Co., Ltd.; 2）Rottendorf Pharma GmbH","1) 2-5-1, Mishima, Settsu, Osaka 566-0022, Japan; 2) Ostenfelder Strasse 51-61, 59320 Ennigerloh, Germany",罗氏（中国）投资有限公司,中国（上海）自由贸易试验区龙东大道1100号4号楼,在已批准的包装场地F. Hoffmann-La Roche AG新增外包装的包装线,2025-07-24,国家药品监督管理局药品审评中心,已备案
国备2025001873,中文：扶正养生丸;英文/拉丁文：--,国药准字ZC20170001,"中文名称：位元堂药厂有限公司;英文名称：Wai Yuen Tong Medicine Co., Ltd",香港新界元朗宏利街9号位元堂药业大厦2楼A-D单位，3楼及4楼A-C单位,"中文名称：位元堂药厂有限公司;英文名称：Wai Yuen Tong Medicine Co., Ltd",香港新界元朗宏利街9号位元堂药业大厦2楼A-D单位，3楼及4楼A-C单位,深圳市延养堂医药有限公司,深圳市坪山区坪山街道大工业区1号路6号厂房C栋205,说明书【有效期】项修订，由24个月修订为36个月。,2025-07-31,国家药品监督管理局药品审评中心,已备案
国备2025002082,中文：注射用重组人凝血因子Ⅷ;英文/拉丁文：Recombinant Human Coagulation Factor Ⅷ for Injection,国药准字SJ20240039,中文名称：无;英文名称：Octapharma AB,"Lars Forssells gata 23, 112 75 Stockholm, Sweden",中文名称：无;英文名称：Octapharma AB,"Lars Forssells gata 23, 112 75 Stockholm, Sweden",四川兴科蓉药业有限责任公司,中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号,"1.根据注册代理机构《营业执照》，规范其注册地址的描述为“中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号”，无实际地址变化。
2. 按要求在说明书中增加指定的“境内责任人”信息，包括“【 境内责任人】，名称：四川兴科蓉药业有限责任公司，地址：中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号，电话：028-62912988”。",2025-08-21,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025002081,中文：注射用重组人凝血因子Ⅷ;英文/拉丁文：Recombinant Human Coagulation Factor Ⅷ for Injection,国药准字SJ20240038,中文名称：无;英文名称：Octapharma AB,"Lars Forssells gata 23, 112 75 Stockholm, Sweden",中文名称：无;英文名称：Octapharma AB,"Lars Forssells gata 23, 112 75 Stockholm, Sweden",四川兴科蓉药业有限责任公司,中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号,"1.根据注册代理机构《营业执照》，规范其注册地址的描述为“中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号”，无实际地址变化。
2. 按要求在说明书中增加指定的“境内责任人”信息，包括“【 境内责任人】，名称：四川兴科蓉药业有限责任公司，地址：中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号，电话：028-62912988”。",2025-08-21,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025002080,中文：注射用重组人凝血因子Ⅷ;英文/拉丁文：Recombinant Human Coagulation Factor Ⅷ for Injection,国药准字SJ20240037,中文名称：无;英文名称：Octapharma AB,"Lars Forssells gata 23, 112 75 Stockholm, Sweden",中文名称：无;英文名称：Octapharma AB,"Lars Forssells gata 23, 112 75 Stockholm, Sweden",四川兴科蓉药业有限责任公司,中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号,"1.根据注册代理机构《营业执照》，规范其注册地址的描述为“中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号”，无实际地址变化。
2. 按要求在说明书中增加指定的“境内责任人”信息，包括“【 境内责任人】，名称：四川兴科蓉药业有限责任公司，地址：中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号，电话：028-62912988”。",2025-08-21,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025002061,中文：马昔腾坦片;英文/拉丁文：Macitentan Tablets,国药准字HJ20170376,中文名称：Actelion Pharmaceuticals Ltd;英文名称：Actelion Pharmaceuticals Ltd,"Gewerbestrasse 16, 4123 Allschwil, Switzerland",中文名称：Excella GmbH & Co.KG;英文名称：Excella GmbH & Co.KG,"Nürnberger Str. 12, 90537 Feucht Germany",强生制药有限公司,北京市顺义区金航东路3号院11号楼610室（天竺综合保税区）,根据《中国药典》2025年版及药典实施公告2025年第32号文，申请将本品原注册标准中药典年份的文字性描述更新为2025年版药典年份，不涉及检验方法和限度的变更，注册标准其他内容不变。,2025-08-21,国家药品监督管理局药品审评中心,已备案
国备2025002009,中文：碘比醇注射液;英文/拉丁文：Iobitridol Injection,国药准字HJ20160377,中文名称：----;英文名称：GUERBET,"BP 57400, F-95943 Roissy CdG Cedex, France",中文名称：----;英文名称：GUERBET,"16-24, rue Jean Chaptal, 93600 Aulnay-sous-Bois, France",加栢药业（温州）有限公司,浙江省温州市瓯海区梧田街道瓯海经济开发区东方南路50号温州市国家大学科技园8号楼3楼303-313室,"1.根据国家药监局关于实施2025年版《中华人民共和国药典》有关事宜的公告（2025年第32号），经持有人评估，本品所执行的药品注册标准可直接适用新版中国药典，将标准中所有引用通则之处的描述更新为“中国药典2025年版四部通则XXXX”。本次变更仅为药典版本号的更新，不涉及任何检验项目、方法及限度的修订。
2.按照国家药监局药审中心关于发布《中药、化学药品及生物制品生产工艺、质量标准通用格式和撰写指南》的通告（2021年第32号）附件2的格式，在标准中增加【药品上市许可持有人】项。",2025-08-19,国家药品监督管理局药品审评中心,已备案
国备2025002008,中文：碘比醇注射液;英文/拉丁文：Iobitridol Injection,国药准字HJ20160376,中文名称：----;英文名称：GUERBET,"BP 57400, F-95943 Roissy CdG Cedex, France",中文名称：----;英文名称：GUERBET,"16-24, rue Jean Chaptal, 93600 Aulnay-sous-Bois, France",加栢药业（温州）有限公司,浙江省温州市瓯海区梧田街道瓯海经济开发区东方南路50号温州市国家大学科技园8号楼3楼303-313室,"1.根据国家药监局关于实施2025年版《中华人民共和国药典》有关事宜的公告（2025年第32号），经持有人评估，本品所执行的药品注册标准可直接适用新版中国药典，将标准中所有引用通则之处的描述更新为“中国药典2025年版四部通则XXXX”。本次变更仅为药典版本号的更新，不涉及任何检验项目、方法及限度的修订。
2.按照国家药监局药审中心关于发布《中药、化学药品及生物制品生产工艺、质量标准通用格式和撰写指南》的通告（2021年第32号）附件2的格式，在标准中增加【药品上市许可持有人】项。",2025-08-19,国家药品监督管理局药品审评中心,已备案
国备2025002007,中文：碘比醇注射液;英文/拉丁文：Iobitridol Injection,国药准字HJ20160375,中文名称：----;英文名称：GUERBET,"BP 57400, F-95943 Roissy CdG Cedex, France",中文名称：----;英文名称：GUERBET,"16-24, rue Jean Chaptal, 93600 Aulnay-sous-Bois, France",加栢药业（温州）有限公司,浙江省温州市瓯海区梧田街道瓯海经济开发区东方南路50号温州市国家大学科技园8号楼3楼303-313室,"1.根据国家药监局关于实施2025年版《中华人民共和国药典》有关事宜的公告（2025年第32号），经持有人评估，本品所执行的药品注册标准可直接适用新版中国药典，将标准中所有引用通则之处的描述更新为“中国药典2025年版四部通则XXXX”。本次变更仅为药典版本号的更新，不涉及任何检验项目、方法及限度的修订。
2.按照国家药监局药审中心关于发布《中药、化学药品及生物制品生产工艺、质量标准通用格式和撰写指南》的通告（2021年第32号）附件2的格式，在标准中增加【药品上市许可持有人】项。",2025-08-19,国家药品监督管理局药品审评中心,已备案
国备2025002006,中文：碘比醇注射液;英文/拉丁文：Iobitridol Injection,国药准字HJ20160374,中文名称：----;英文名称：GUERBET,"BP 57400, F-95943 Roissy CdG Cedex, France",中文名称：----;英文名称：GUERBET,"16-24, rue Jean Chaptal, 93600 Aulnay-sous-Bois, France",加栢药业（温州）有限公司,浙江省温州市瓯海区梧田街道瓯海经济开发区东方南路50号温州市国家大学科技园8号楼3楼303-313室,"1.根据国家药监局关于实施2025年版《中华人民共和国药典》有关事宜的公告（2025年第32号），经持有人评估，本品所执行的药品注册标准可直接适用新版中国药典，将标准中所有引用通则之处的描述更新为“中国药典2025年版四部通则XXXX”。本次变更仅为药典版本号的更新，不涉及任何检验项目、方法及限度的修订。
2.按照国家药监局药审中心关于发布《中药、化学药品及生物制品生产工艺、质量标准通用格式和撰写指南》的通告（2021年第32号）附件2的格式，在标准中增加【药品上市许可持有人】项。",2025-08-19,国家药品监督管理局药品审评中心,已备案
国备2025002005,中文：碘比醇注射液;英文/拉丁文：Iobitridol Injection,国药准字HJ20160373,中文名称：----;英文名称：GUERBET,"BP 57400, F-95943 Roissy CdG Cedex, France",中文名称：----;英文名称：GUERBET,"16-24, rue Jean Chaptal, 93600 Aulnay-sous-Bois, France",加栢药业（温州）有限公司,浙江省温州市瓯海区梧田街道瓯海经济开发区东方南路50号温州市国家大学科技园8号楼3楼303-313室,"1.根据国家药监局关于实施2025年版《中华人民共和国药典》有关事宜的公告（2025年第32号），经持有人评估，本品所执行的药品注册标准可直接适用新版中国药典，将标准中所有引用通则之处的描述更新为“中国药典2025年版四部通则XXXX”。本次变更仅为药典版本号的更新，不涉及任何检验项目、方法及限度的修订。
2.按照国家药监局药审中心关于发布《中药、化学药品及生物制品生产工艺、质量标准通用格式和撰写指南》的通告（2021年第32号）附件2的格式，在标准中增加【药品上市许可持有人】项。",2025-08-19,国家药品监督管理局药品审评中心,已备案
国备2025001911,中文：奥卡西平片;英文/拉丁文：Oxcarbazepine Tablets,国药准字HJ20250061,中文名称：/;英文名称：ANNORA PHARMA PRIVATE LIMITED,"SY. NO. 261, ANNARAM VILLAGE, GUMMADIDALA MANDAL, SANGAREDDY DISTRICT, PINCODE-502313, TELANGANA STATE, INDIA",中文名称：/;英文名称：ANNORA PHARMA PRIVATE LIMITED,"SY. NO. 261, ANNARAM VILLAGE, GUMMADIDALA MANDAL, SANGAREDDY DISTRICT, PINCODE-502313, TELANGANA STATE, INDIA",熙德隆药业（北京）有限公司,北京市朝阳区望京东园四区6号楼27层2701号05,在同一生产厂址增加奥卡西平片的生产线，同时将总混批量扩大至原批量的1.43倍、2.86倍和5.71倍，压片包衣批量扩大至原批量的5倍和10倍，原生产线继续保留。,2025-08-05,国家药品监督管理局药品审评中心,已备案
国备2025001834,中文：克霉唑阴道片;英文/拉丁文：Clotrimazole Vaginal Tablets,国药准字HC20170005 国药准字HC20170001,中文名称：正美药品有限公司;英文名称：JEAN-MARIE PHARMACAL CO. LTD.,香港新界大埔工业邨大富街12号GMP中心1楼,中文名称：正美药品有限公司;英文名称：JEAN-MARIE PHARMACAL CO. LTD.,香港新界大埔工业邨大富街12号GMP中心1楼,有邦（杭州）健康科技有限公司,浙江省杭州市余杭区仓前街道仓兴街1390号9幢701-7室,"1、将克霉唑阴道片（国药准字HC20170005、国药准字HC20170001）说明书及包装标签中的“境内联系”更新为“【境内责任人】”，并对说明书中的提示语作相应修订；
2、将说明书及包装标签中的“【药品批准文号】”规范为“【批准文号】”；
3、将说明书中的“生产地址”修订为“地址”，将包装标签中的“联系电话”修订为“电话号码”。",2025-07-26,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
